DB Entrez Gene IDA	DB CCSB ORF ID	DB Accession	AD Entrez Gene ID	AD CCSB ORF ID	AD Accession	Trial
56341	1137	BC022458.1	56341	1137	BC022458.1	4
10445	6901	BC011794.2	51019	6319	BC010889.1	4
84752	7152	BC012191.1	4188	5143	BC007836.2	4
11167	3529	BC000055.2	10513	820	BC018121.1	4
4034	834	BC018529.1	4188	5143	BC007836.2	4
80028	8824	BC013435.1	4188	5143	BC007836.2	4
54932	8707	BC039252.1	9802	3598	BC002334.2	4
60491	4562	BC007654.2	6303	5768	BC008424.1	4
50717	8628	BC013107.1	4188	5143	BC007836.2	4
140462	2763	BC001244.1	1152	3341	BC010002.2	4
1295	3053	BC013581.1	54507	9414	BC027478.1	4
9363	3623	BC009996.2	10567	4757	BC008950.2	4
114823	9518	BC028048.1	93487	7591	BC015621.2	4
79873	2532	BC016902.1	25788	9795	BC033710.2	4
9587	4424	BC002904.2	9319	4664	BC000404.2	4
2947	4789	BC008790.2	2947	3605	BC000088.2	4
5155	9318	BC029822.1	4188	5143	BC007836.2	4
79666	6953	BC011806.2	51562	7531	BC016821.1	4
84171	8976	BC007522.1	9319	4664	BC000404.2	4
125170	7599	BC014973.1	10567	4757	BC008950.2	4
7376	5125	BC007790.1	4188	5143	BC007836.2	4
5152	3048	BC009047.1	22954	3878	BC003154.1	4
4292	2713	BC006850.1	9877	6160	BC014268.2	4
26505	1454	BC037272.1	4188	5143	BC007836.2	4
65265	6838	BC010001.2	4188	5143	BC007836.2	4
9470	4647	BC021226.2	4188	5143	BC007836.2	4
60491	4562	BC007654.2	51074	5696	BC008440.1	4
11135	6819	BC009356.2	4188	5143	BC007836.2	4
358	1231	BC022486.1	4188	5143	BC007836.2	4
54472	3374	BC004420.1	9802	3598	BC002334.2	4
79666	6953	BC011806.2	51562	5480	BC005197.1	4
81570	5003	BC006404.2	4188	5143	BC007836.2	4
60491	4562	BC007654.2	10567	4757	BC008950.2	4
23551	6053	BC013419.2	10567	4757	BC008950.2	4
5682	442	BC015356.1	25788	9795	BC033710.2	4
51074	3056	BC009077.1	51074	5696	BC008440.1	4
79666	6953	BC011806.2	1854	10082	BC033645.1	4
51562	7531	BC016821.1	51562	7531	BC016821.1	4
7695	5106	BC006421.1	4188	5143	BC007836.2	4
573	413	BC014774.1	373	1227	BC022510.1	4
5682	442	BC015356.1	23641	3434	BC003104.1	4
9513	989	BC020090.1	22978	3744	BC001595.1	4
79797	252	BC015708.2	4188	5143	BC007836.2	4
1977	6452	BC012611.1	56478	1948	BC032941.1	4
3219	6243	BC015565.1	6303	5768	BC008424.1	4
60491	4562	BC007654.2	25788	9795	BC033710.2	4
3205	5870	BC006537.2	7205	4104	BC002680.2	4
5515	4071	BC002657.2	9319	4664	BC000404.2	4
84528	2032	BC021719.2	9802	3598	BC002334.2	4
11201	10037	BC032662.1	9802	3598	BC002334.2	4
2242	9223	BC035357.1	4188	5143	BC007836.2	4
51566	5676	BC005194.1	84232	7033	BC014082.2	4
5682	442	BC015356.1	23281	9746	BC032481.1	4
3987	5515	BC005341.1	51562	5480	BC005197.1	4
9513	989	BC020090.1	4830	3125	BC000293.2	4
79666	6953	BC011806.2	64769	7537	BC016328.1	4
286514	2123	BC029525.1	2553	2126	BC036080.1	4
157773	2211	BC031245.1	4188	5143	BC007836.2	4
79169	4173	BC002843.2	80321	1596	BC030598.2	4
362	2030	BC032946.1	4188	5143	BC007836.2	4
9513	989	BC020090.1	10606	2375	BC010273.1	4
8862	7865	BC021104.1	4188	5143	BC007836.2	4
84733	4279	BC004252.1	4188	5143	BC007836.2	4
9491	9264	BC029836.1	23641	3434	BC003104.1	4
